Source,Selection,Tau,TauLabel,IsCurrentRule,Coupons_N,MeanCorrect,MedianCorrect,Correct,Coupons_with_Correct,Share
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,9,55,0.2412280701754386
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,10,58,0.2543859649122807
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,11,34,0.14912280701754385
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,12,25,0.10964912280701754
production_blend,all,0.25,0.25,False,228,9.574561403508772,10.0,13,3,0.013157894736842105
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,0,0,0.0
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,1,0,0.0
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,2,0,0.0
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,3,0,0.0
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,4,0,0.0
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,5,1,0.0043859649122807015
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,6,1,0.0043859649122807015
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,7,15,0.06578947368421052
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,8,28,0.12280701754385964
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,9,36,0.15789473684210525
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,10,66,0.2894736842105263
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,11,52,0.22807017543859648
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,12,22,0.09649122807017543
production_blend,all,0.3,0.30,False,228,9.87280701754386,10.0,13,7,0.03070175438596491
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,0,0,0.0
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,1,0,0.0
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,2,0,0.0
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,3,0,0.0
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,4,0,0.0
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,5,1,0.0043859649122807015
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,6,0,0.0
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,7,15,0.06578947368421052
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,8,28,0.12280701754385964
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,9,36,0.15789473684210525
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,10,66,0.2894736842105263
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,11,52,0.22807017543859648
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,12,22,0.09649122807017543
production_blend,all,1.0,1.00,True,228,9.903508771929825,10.0,13,8,0.03508771929824561
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,0,0,0.0
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,1,0,0.0
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,2,0,0.0
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,3,1,0.0043859649122807015
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,4,3,0.013157894736842105
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,5,8,0.03508771929824561
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,6,32,0.14035087719298245
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,7,40,0.17543859649122806
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,8,43,0.18859649122807018
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,9,45,0.19736842105263158
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,10,33,0.14473684210526316
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,11,18,0.07894736842105263
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,12,4,0.017543859649122806
production_blend,top7of13,0.0,0.00,False,228,8.179824561403509,8.0,13,1,0.0043859649122807015
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,0,0,0.0
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,1,0,0.0
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,2,0,0.0
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,3,1,0.0043859649122807015
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,4,3,0.013157894736842105
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,5,8,0.03508771929824561
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,6,32,0.14035087719298245
production_blend,top7of13,0.1,0.10,False,228,8.179824561403509,8.0,7,40,0.17543859649122806
