Scope,League,ModelWeight,OddsWeight,IsGridWeight,IsProductionWeight,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,IsOverallOptimum
league,E1,0.25,0.75,True,False,793,0.4640605296343001,1.0419220784646221,0.6277063723399174,0.4968474148802018,0.2678325043249624,0.25598991172761665,0.19144351158221343,0.002528247529166805,-0.001305614711057529,0.006018070968949695,0.0014017535631750677,-0.0011641701330127486,0.003709564467939682,False
league,E1,0.3,0.7,True,False,793,0.45775535939470363,1.0427542132391723,0.6282219311612027,0.48675914249684743,0.26819531117192846,0.25598991172761665,0.19145922745753158,0.0033603823037169356,-0.0012349422084685035,0.00751069117987189,0.0019173123844603568,-0.0011703798708020824,0.004692762544010114,False
league,E1,0.35,0.65,True,False,793,0.45649432534678436,1.0436909294128272,0.6288158926853714,0.47793190416141235,0.26855811801889456,0.25598991172761665,0.19148130147194203,0.004297098477371808,-0.0010222613617766497,0.009088882573766197,0.0025112739086290414,-0.0010847018712846462,0.0057489823752019265,False
league,E1,0.4,0.6,True,False,793,0.45649432534678436,1.0447312333709982,0.6294882569124236,0.4728877679697352,0.26892092486586067,0.25598991172761665,0.19150973362544482,0.005337402435542815,-0.0006756001351931549,0.01075894294680869,0.0031836381356812327,-0.0009326462160430204,0.006882840313701258,False
league,E1,0.411764705882,0.588235294118,False,True,793,0.4527112232030265,1.044990988098261,0.629657854424393,0.4703656998738966,0.26900629118279135,0.25598991172761665,0.19151734756412994,0.005597157162805733,-0.0005773065030999334,0.011165248959792108,0.0033532356476506653,-0.0008916868788297033,0.007161204152011629,False
league,E1,0.45,0.55,True,False,793,0.4552332912988651,1.0458744779042861,0.6302390238423592,0.4691046658259773,0.2692837317128268,0.25598991172761665,0.19154452391803997,0.006480646968830772,-0.00023349738543406695,0.0125317642354457,0.0039344050656168195,-0.0007314835331817315,0.008095850816249472,False
league,E1,0.5,0.5,True,False,793,0.45649432534678436,1.0471203423079534,0.6310681934751783,0.4691046658259773,0.2696465385597929,0.25598991172761665,0.19158567234972748,0.007726511372498024,0.0002466614419326496,0.014421460829768912,0.004763574698435913,-0.0004141096273272304,0.009394631629585837,False
league,E1,0.55,0.44999999999999996,True,False,793,0.4552332912988651,1.048468820318388,0.6319757658108808,0.4691046658259773,0.27000934540675897,0.25598991172761665,0.1916331789205073,0.009074989382932719,0.0009111110499383125,0.016454866538810366,0.005671147034138402,-4.574409540301081e-05,0.010786327285873134,False
league,E1,0.6,0.4,True,False,793,0.4514501891551072,1.0499202152335771,0.6329617408494668,0.4766708701134931,0.27037215225372513,0.25598991172761665,0.19168704363037947,0.010526384298121805,0.0015934755285174685,0.018607967443829736,0.006657122072724397,0.0004097935344780285,0.012266564719969536,False
league,E1,0.65,0.35,True,False,793,0.4501891551071879,1.0514751420447237,0.634026118590936,0.4691046658259773,0.2707349591006912,0.25598991172761665,0.19174726647934398,0.012081311109268356,0.0023762664009939817,0.02078989193085929,0.0077214998141936775,0.0009667875497645472,0.013834834449435706,False
league,E1,0.7,0.30000000000000004,True,False,793,0.4514501891551072,1.0531345368799263,0.6351688990352888,0.46027742749054223,0.27109776594765733,0.25598991172761665,0.19181384746740085,0.013740705944470966,0.003259650063247588,0.02315375962691085,0.008864280258546464,0.0016379782075492538,0.015474235282895637,False
