League,Season,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
E1,2425,with_odds/league_onehot,with_odds,league_onehot,241,0.4854771784232365,1.041497988682232,0.6254769914177076,0.6970954356846473,0.28853126065856705,0.23651452282157676,0.18344773649928148,0.007052571047088785,-0.012100295469163873,0.02563247825816487,0.0042928361407885696,-0.008894841110403612,0.01701847854292123,-0.0004992986196641347,-0.003471398958459154,0.002531501929289935,-0.0003370206829562683,-0.0023389430004382428,0.0017350808997740356,-0.0005913971357569547,-0.0034053500149479887,0.0023155952143780953,-0.000353650275538242,-0.002288059629851502,0.001594645168493181
E1,2526,Odds,reference,odds,552,0.46195652173913043,1.0415542794959176,0.6285401834569189,0.5760869565217391,0.264534452639793,0.2644927536231884,0.19545186161086917,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E1,2526,base/league_none,base,league_none,552,0.427536231884058,1.0692843974788206,0.6467890207931419,0.37318840579710144,0.26435708538030944,0.2644927536231884,0.19577442443211557,0.027730117982903035,0.010493301013349315,0.044503653273010944,0.018248837336223067,0.006275175905252348,0.029993292843504604,0.0,0.0,0.0,0.0,0.0,0.0,6.233873042682525e-05,-0.000669638920365817,0.0008145878507046842,1.688528943266654e-05,-0.0005076445363171922,0.0005434911667395454
E1,2526,base/league_ordinal,base,league_ordinal,552,0.4257246376811594,1.0692220587483938,0.6467721355037093,0.3858695652173913,0.2646629444350253,0.2644927536231884,0.19566226425729968,0.02766777925247621,0.01024951194938592,0.044625162483292964,0.0182319520467904,0.006074795590664353,0.030029693564494704,-6.233873042682525e-05,-0.0008145878507046844,0.0006696389203658168,-1.688528943266654e-05,-0.0005434911667395459,0.0005076445363171914,0.0,0.0,0.0,0.0,0.0,0.0
E1,2526,base/league_onehot,base,league_onehot,552,0.42391304347826086,1.0691877275985788,0.646761988230562,0.3822463768115942,0.2654038269356631,0.2644927536231884,0.19574857400199586,0.027633448102661218,0.009929749864444355,0.04454545274030982,0.018221804773643102,0.005952177730963298,0.03005441823102777,-9.666988024181755e-05,-0.0020104451405524694,0.001750671472245124,-2.7032562579965003e-05,-0.0013139498626747654,0.0012627236007778653,-3.43311498149923e-05,-0.0016262537957062561,0.0016022241922996894,-1.0147273147298463e-05,-0.0011557382476195589,0.0011030804782179047
E1,2526,with_odds/league_none,with_odds,league_none,552,0.4420289855072464,1.0530246838143658,0.6360420767626782,0.4963768115942029,0.26528711836435087,0.2644927536231884,0.19552646116202937,0.011470404318448146,0.0035213417044652586,0.019277562116770574,0.007501893305759344,0.002338601070429652,0.01268587616527782,0.0,0.0,0.0,0.0,0.0,0.0,1.363477192484197e-06,-0.00023986903715726428,0.00021675581121663988,3.605916914950491e-06,-0.0001583891703973883,0.00015115899533130469
E1,2526,with_odds/league_ordinal,with_odds,league_ordinal,552,0.44565217391304346,1.0530233203371733,0.6360384708457633,0.4945652173913043,0.26532869407617476,0.2644927536231884,0.19552859895959374,0.011469040841255662,0.00355935513055346,0.019328976281397563,0.0074982873888443935,0.0023262507771720786,0.012693572940751978,-1.363477192484197e-06,-0.00021675581121664012,0.00023986903715726414,-3.605916914950491e-06,-0.0001511589953313047,0.0001583891703973882,0.0,0.0,0.0,0.0,0.0,0.0
E1,2526,with_odds/league_onehot,with_odds,league_onehot,552,0.4438405797101449,1.0522025746320953,0.6354420858994643,0.49818840579710144,0.26561737681454833,0.2644927536231884,0.19531592938276515,0.01064829513617771,0.002757136852441128,0.01839301156828997,0.0069019024425454045,0.001825949406620908,0.011931921458679906,-0.0008221091822704363,-0.0022349853695774356,0.0005489975712343547,-0.0005999908632139395,-0.0015705895681139919,0.0003532217292006672,-0.0008207457050779521,-0.002153858396370495,0.0005275699291867989,-0.000596384946298989,-0.0015217109606527168,0.00033867585685204974
E2,2425,Odds,reference,odds,264,0.48484848484848486,1.0208770293158103,0.6123597741992346,0.6098484848484849,0.264219205183164,0.23484848484848486,0.18084439954178924,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E2,2425,base/league_none,base,league_none,264,0.4659090909090909,1.0414565626260974,0.6267668234952832,0.571969696969697,0.28514223439706365,0.23484848484848486,0.1808054286392455,0.020579533310287168,-0.0016541071456068366,0.0457290394580923,0.014407049296048635,-0.0016225255232855923,0.03259106226493735,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004060868927935335,-0.0007906316008393255,-6.2246443526371336e-06,-0.00030660320185693646,-0.0005617402832034351,-4.3195579637844994e-05
E2,2425,base/league_ordinal,base,league_ordinal,264,0.4659090909090909,1.041862649518891,0.6270734266971402,0.5681818181818182,0.2849345196117592,0.23484848484848486,0.1808072021332838,0.0209856202030807,-0.0013289265078703539,0.046073712493806936,0.014713652497905572,-0.0013142030327225273,0.03288202881352813,0.0004060868927935335,6.224644352637033e-06,0.0007906316008393253,0.00030660320185693646,4.319557963784471e-05,0.0005617402832034351,0.0,0.0,0.0,0.0,0.0,0.0
E2,2425,base/league_onehot,base,league_onehot,264,0.45075757575757575,1.0398342769693185,0.6256538870746855,0.5984848484848485,0.285802160550919,0.23484848484848486,0.18059100249348825,0.018957247653508258,-0.0029034454510880937,0.04350600295443026,0.013294112875450903,-0.002543553643025484,0.030751367961439367,-0.0016222856567789101,-0.0042048508328170085,0.001202930944395469,-0.0011129364205977321,-0.00282816876277906,0.0006921348916266264,-0.0020283725495724436,-0.0047532667495082444,0.0008081450748852572,-0.0014195396224546686,-0.0032058047111594044,0.0003976482093191259
E2,2425,with_odds/league_none,with_odds,league_none,264,0.4734848484848485,1.0303410926590673,0.6182935406983275,0.6818181818181818,0.2832396127739488,0.23484848484848486,0.18107513019337176,0.009464063343257001,-0.005523265045599507,0.025679838610496424,0.005933766499092941,-0.004806595535422864,0.0172255622002728,0.0,0.0,0.0,0.0,0.0,0.0,0.0006952589748423499,0.0001350717652933986,0.0012430678444873438,0.00047719726084360925,9.968309391908125e-05,0.0008312082322921938
E2,2425,with_odds/league_ordinal,with_odds,league_ordinal,264,0.4772727272727273,1.029645833684225,0.6178163434374839,0.6742424242424242,0.2830331068983029,0.23484848484848486,0.18103489268616274,0.008768804368414651,-0.006070701198202938,0.024848966563546408,0.005456569238249331,-0.005204464282162718,0.01656094548139298,-0.0006952589748423499,-0.0012430678444873445,-0.0001350717652933989,-0.00047719726084360925,-0.0008312082322921938,-9.96830939190813e-05,0.0,0.0,0.0,0.0,0.0,0.0
E2,2425,with_odds/league_onehot,with_odds,league_onehot,264,0.4734848484848485,1.0301318792832521,0.6183414324128045,0.6893939393939394,0.28262464088948275,0.23484848484848486,0.18105792723753017,0.009254849967441858,-0.005310724665013478,0.024705444367203545,0.005981658213569885,-0.004503921199870459,0.016827665807680997,-0.00020921337581514265,-0.0028388858812620097,0.0022878447733003715,4.789171447694418e-05,-0.0016916004415707924,0.0017113132090456108,0.00048604559902720723,-0.0019251923208170874,0.0027948409035765116,0.0005250889753205534,-0.001141614424770715,0.00211474178739815
E2,2526,Odds,reference,odds,552,0.5036231884057971,1.0188450943720488,0.6096793184986857,0.49094202898550726,0.26534579440493977,0.25181159420289856,0.1868169026678719,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E2,2526,base/league_none,base,league_none,552,0.4927536231884058,1.037354262728421,0.6230420368789016,0.39855072463768115,0.2638712902284727,0.25181159420289856,0.18866950736877133,0.018509168356372063,0.005300914504380455,0.03188634808992907,0.013362718380215854,0.0040982240808606265,0.022755563045983803,0.0,0.0,0.0,0.0,0.0,0.0,-8.220990740692713e-05,-0.0006726726192976373,0.0004895167345829675,-8.690241462361303e-05,-0.0004962369420962759,0.00031472577343833916
E2,2526,base/league_ordinal,base,league_ordinal,552,0.4891304347826087,1.0374364726358278,0.6231289392935252,0.38768115942028986,0.26414691695178827,0.25181159420289856,0.18859582947784995,0.01859137826377899,0.005374094407409852,0.031982753096469994,0.013449620794839467,0.0041788700673277305,0.02279655098909704,8.220990740692713e-05,-0.0004895167345829676,0.0006726726192976371,8.690241462361303e-05,-0.0003147257734383402,0.0004962369420962758,0.0,0.0,0.0,0.0,0.0,0.0
E2,2526,base/league_onehot,base,league_onehot,552,0.4945652173913043,1.0375693988854935,0.6232793144569481,0.4003623188405797,0.2637908698548768,0.25181159420289856,0.18857448968462523,0.018724304513444645,0.005637758489519579,0.03191598838069077,0.013599995958262334,0.004428772511697513,0.022749018955607627,0.00021513615707258182,-0.0012293689917835305,0.0017804032967346668,0.00023727757804647975,-0.0007768791605031383,0.0013102147606024682,0.0001329262496656547,-0.001437415571736944,0.001709472794712513,0.00015037516342286672,-0.0009373280722476645,0.0012562665675811399
E2,2526,with_odds/league_none,with_odds,league_none,552,0.4927536231884058,1.026746229982342,0.6149165412769698,0.45471014492753625,0.2645135332485825,0.25181159420289856,0.1886495162057379,0.007901135610293153,0.0011667224312507441,0.014984960462146183,0.00523722277828409,0.0005355970237412077,0.0098477145477419,0.0,0.0,0.0,0.0,0.0,0.0,4.680794696754198e-05,-0.00014376297233933966,0.0002325157458537174,2.7436643671441274e-05,-0.00010392860011939341,0.00015591513330386603
E2,2526,with_odds/league_ordinal,with_odds,league_ordinal,552,0.4945652173913043,1.0266994220353745,0.6148891046332984,0.447463768115942,0.26456013598841344,0.25181159420289856,0.1886378493731181,0.007854327663325611,0.0011102156495913008,0.014919736243843984,0.005209786134612648,0.0005357257549423566,0.00979227806676718,-4.680794696754198e-05,-0.00023251574585371747,0.00014376297233933955,-2.7436643671441274e-05,-0.0001559151333038661,0.00010392860011939329,0.0,0.0,0.0,0.0,0.0,0.0
